Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",172.720000,-69.088000,90.000000,top
"C2","100n","C_0402_1005Metric",182.372000,-69.596000,0.000000,top
"C3","100n","C_0402_1005Metric",182.372000,-77.724000,0.000000,top
"C4","100n","C_0402_1005Metric",174.600000,-67.280000,90.000000,top
"C5","10u","C_0603_1608Metric",180.400000,-66.600000,90.000000,top
"C6","10n","C_0603_1608Metric",173.012500,-81.490000,0.000000,top
"C7","1u","C_0402_1005Metric",172.600000,-79.600000,0.000000,top
"C8","1u","C_0402_1005Metric",180.520000,-79.500000,0.000000,top
"C9","100n","C_0402_1005Metric",170.200000,-79.000000,-90.000000,top
"C10","10p","C_0402_1005Metric",170.800000,-72.600000,-90.000000,top
"C11","10p","C_0402_1005Metric",170.600000,-75.720000,-90.000000,top
"C12","22u","C_0805_2012Metric",187.800000,-81.600000,180.000000,top
"C13","22u","C_0805_2012Metric",193.232500,-81.510000,0.000000,top
"D1","RED","LED_0603_1608Metric",196.612500,-84.200000,0.000000,top
"FB1","120R","L_0603_1608Metric",173.012500,-84.000000,0.000000,top
"H1","MountingHole","MountingHole_2.2mm_M2",165.500000,-90.500000,0.000000,top
"H2","MountingHole","MountingHole_2.2mm_M2",198.000000,-90.500000,0.000000,top
"H3","MountingHole","MountingHole_2.2mm_M2",197.500000,-62.000000,0.000000,top
"H4","MountingHole","MountingHole_2.2mm_M2",165.500000,-62.500000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Technik_TWP-4002D-H3",195.325000,-73.500000,90.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",192.600000,-63.400000,-90.000000,top
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",173.200000,-87.200000,90.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",180.620000,-63.000000,-90.000000,top
"R1","10k","R_0402_1005Metric",168.490000,-70.000000,180.000000,top
"R2","1k5","R_0402_1005Metric",190.500000,-71.000000,90.000000,top
"R3","1k5","R_0402_1005Metric",196.912500,-81.970000,0.000000,top
"SW1","SW_SPDT","SuperSOT-3",169.300000,-66.600000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",191.000000,-87.800000,-90.000000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",177.292000,-73.660000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",168.150000,-74.100000,-90.000000,top
